Date,F,CAT,DIS,MCD,KO,PEP,WMT,C,WFC,JPM,AAPL,IBM,PFE,JNJ,XOM,MRO,ED,T,VZ,NEM
2001-12-31,10.45640731,17.17657975,16.97947464,17.34642853,15.27256498,33.12898408,42.39582443,353.7782823,13.94848329,22.74414656,1.407227617,89.64033413,22.28433445,38.59768724,26.04816682,6.190980021,17.88905241,17.22457301,20.2710516,16.03561833
2002-01-31,10.24461426,16.64628696,17.25809536,17.81170864,14.17125595,34.08155294,44.1859522,333.3140869,14.96937584,21.50431648,1.588432269,79.95449445,23.30208824,37.5592723,25.88246601,5.78856632,18.16829183,16.57441187,19.94999859,18.32642094
2002-02-28,9.963389556,18.37779214,18.84787242,17.10395862,15.35030445,34.36051954,45.68140874,318.1954099,15.1339454,18.47287098,1.394376224,72.80966981,22.97751913,39.89819346,27.53815886,5.717888004,18.32809968,16.74701589,20.1436879,20.23961873
2002-03-31,11.04141759,18.82142827,18.91343024,18.18524336,16.99837359,35.14278902,45.21197409,348.2218055,15.9406589,22.51479831,1.520962452,77.17290726,22.29313013,42.5515216,29.22512113,5.988188164,18.8267318,16.56998612,19.84239342,23.26373506
2002-04-30,10.7133221,18.19838044,18.99537751,18.61120402,18.05548638,35.41574272,41.19968797,304.4831216,16.50535836,22.38272456,1.559516633,62.15387223,20.39142627,41.837416,26.7846935,6.042248196,19.58141826,13.84796326,17.41451751,23.95265752
2002-05-31,11.89045984,17.41540362,18.77411988,19.62040311,18.07174965,35.47033346,39.9015954,304.8551966,17.00011357,22.92475636,1.497187374,59.80630314,19.4788702,40.32704978,26.78024658,5.746580399,19.90944772,15.28804443,18.66926584,26.22106072
2002-06-30,10.77888711,16.30924062,15.4880343,18.64397022,18.28173455,32.98572572,40.62577223,273.5789455,16.24094819,21.6302569,1.138633488,53.52459697,19.70405945,34.35194167,27.44421963,5.683707528,18.99062011,13.59828974,17.43188427,22.1420536
2002-07-31,9.14184363,15.01535147,14.52925122,16.21927111,16.3033897,29.38603864,36.3202232,236.795815,16.50049191,16.08988769,0.980561344,52.33516148,18.21218067,34.83836411,24.65419144,5.080127968,19.49097178,12.43742411,14.47066604,20.51903182
2002-08-31,7.988084597,14.65928274,12.84933216,15.57050026,16.64943682,27.06608822,39.49584255,248.819566,17.02703057,17.01815044,0.94779029,56.15880021,18.69629333,35.83175524,23.92707973,5.234808833,18.74652092,11.12443501,13.59365598,23.98372079
2002-09-30,6.651081483,12.50271548,12.40681689,11.57302334,15.71827964,25.38714611,36.41468754,225.2671796,15.71223974,12.24146503,0.931726048,43.44149164,16.40164548,35.68000964,21.53099699,4.796988457,18.52998455,9.038041382,12.03257806,23.15872794
2002-10-31,5.809838485,13.8410802,13.68519433,11.86791918,15.23322848,30.29967912,39.602082,282.0968088,16.46587915,13.62520526,1.032609489,58.81103328,17.95590203,38.76110514,22.71891407,4.420505236,19.61266639,11.69023035,16.75482494,20.8100238
2002-11-30,7.815125527,16.90746394,16.24194919,12.28961928,15.02470564,29.18662968,39.86091913,296.8315,15.16281927,16.52753814,0.995983017,64.87533214,17.8913202,37.74792779,23.64504025,4.280875046,18.5639155,12.98408281,18.58294672,19.70722723
2002-12-31,6.386701881,15.49116736,13.53207541,10.68200421,14.43214494,29.10831951,37.4095048,268.6599919,15.3793841,15.75927356,0.920802363,57.84443443,17.34657972,35.55666787,23.74016398,4.556991487,19.99765689,12.35082404,17.19410663,24.46990995
2003-01-31,6.322847295,15.01196742,14.51939422,9.459685324,13.31944764,27.9086872,35.40238229,264.0109497,15.54344836,15.53072073,0.922730072,58.36690029,17.31228187,35.49046666,23.20339438,4.473514423,18.64330834,11.23887822,17.14540818,24.40247651
2003-02-28,5.774543303,16.04280284,14.15433516,9.041173965,13.24043954,26.41948848,35.59494755,256.0245801,14.97913245,15.09154868,0.964497102,58.29289786,17.00435591,34.86126039,23.27324626,4.995288998,18.47646267,9.565002742,15.48819788,23.03694933
2003-03-31,5.219298755,16.79374255,14.12114798,9.605832148,13.40308097,27.68739272,38.60064651,264.5484938,14.86022424,15.77692324,0.908593539,58.65185348,17.76846848,38.4637014,23.90946375,5.185668137,18.22537228,9.224709375,15.83307678,22.07516825
2003-04-30,7.218179129,18.07651876,15.48182263,11.35959403,13.37659267,29.95775892,41.78336366,301.4086613,15.94030722,19.79429043,0.913734097,63.49027618,17.53467284,37.46006931,24.08048996,4.92606022,18.41487446,10.90851843,16.92924574,22.80960024
2003-05-31,7.358337947,17.92187174,16.30320551,12.44240914,15.08839921,30.59456895,39.03094393,316.616237,16.05375077,22.16151222,1.15341259,65.95997343,17.76853029,36.27881582,25.07692615,5.619949746,20.66130732,11.88916435,17.14210678,25.03822143
2003-06-30,7.701727051,19.12811852,16.38617347,14.65454061,15.43876219,30.91314846,39.88222215,330.3553131,16.75173994,23.05174947,1.224737826,61.80937991,19.56142197,34.50993151,24.73935215,5.755370222,20.80068343,11.93119203,17.86674009,27.43802512
2003-07-31,7.823559939,23.31446424,18.18657836,15.28562916,14.95973143,32.00379212,41.54676804,348.493981,16.79494879,23.87343066,1.354536903,60.87287416,19.10890298,34.57000683,24.51200639,5.622133947,19.08491541,11.06832342,16.00581512,30.51487082
2003-08-31,8.177247098,24.82107553,17.00843323,14.89368996,14.47737407,30.94093556,43.96927678,337.2146,16.81540018,23.30809692,1.452850065,61.56553941,17.21989703,33.25041188,26.15032728,6.147996327,19.26478335,10.64188972,16.152154,33.21979011
2003-09-30,7.618421388,23.78787192,16.73463894,15.63771015,14.36176865,31.95097675,41.50218198,354.0169883,17.27150198,23.38302067,1.331404394,66.31001215,17.48464144,33.21017338,25.38732038,6.282463081,19.86421881,10.54238853,14.83510407,33.07594487
2003-10-31,8.649480631,25.44817598,18.78394772,16.60759362,15.51177992,33.33833097,43.87488891,371.4348121,18.88798042,24.68978871,1.470842016,67.17332602,18.18678965,33.7533931,25.37344753,6.518330993,19.7228885,11.55820794,15.546603,37.04438133
2003-11-30,9.412460373,26.41012259,19.15730357,17.28564926,15.61845842,33.54747984,41.41134553,368.5354264,19.3820634,24.34591978,1.343613218,68.09080277,19.4100335,33.21487765,25.28639499,6.582746002,19.91227787,11.22081238,15.19495364,40.73358879
2003-12-31,11.40904288,28.8306164,19.53781222,16.746105,17.04595193,32.61261558,39.55214746,380.3680544,19.90946649,25.26061112,1.373171424,69.70019439,20.42765813,34.80487991,28.63928714,7.356402067,21.25129209,12.56557469,16.23139384,41.17307867
